date,et_mm,region,et_mm_fuera_de_rango,es_duplicado
2000-03-01,3.418989262136443,Cauca,False,False
2000-04-01,3.5650692039805114,Cauca,False,False
2000-05-01,3.5287043415097195,Cauca,False,False
2000-06-01,3.627669258666594,Cauca,False,False
2000-07-01,3.71040277921328,Cauca,False,False
2000-08-01,3.723394021604889,Cauca,False,False
2000-09-01,3.504823360961528,Cauca,False,False
2000-10-01,3.874303178883212,Cauca,False,False
2000-11-01,4.216610783749903,Cauca,False,False
2000-12-01,4.012949605881914,Cauca,False,False
2001-01-01,3.746342102775248,Cauca,False,False
2001-02-01,4.006144948328578,Cauca,False,False
2001-03-01,3.637633833950477,Cauca,False,False
2001-04-01,3.934236866284416,Cauca,False,False
2001-05-01,3.802777520139181,Cauca,False,False
2001-06-01,3.823481062733597,Cauca,False,False
2001-07-01,3.680389545178594,Cauca,False,False
2001-08-01,3.704875008048752,Cauca,False,False
2001-09-01,3.582080106414047,Cauca,False,False
2001-10-01,4.098883074482614,Cauca,False,False
2001-11-01,4.107379960238825,Cauca,False,False
2001-12-01,3.7636693262123697,Cauca,False,False
2002-01-01,3.986114132067189,Cauca,False,False
2002-02-01,3.681361259228857,Cauca,False,False
2002-03-01,3.759562829281199,Cauca,False,False
2002-04-01,3.484393859357406,Cauca,False,False
2002-05-01,3.957713060664019,Cauca,False,False
2002-06-01,3.9352198457012544,Cauca,False,False
2002-07-01,3.982063992147399,Cauca,False,False
2002-08-01,3.640431516092693,Cauca,False,False
2002-09-01,3.6088964402769865,Cauca,False,False
2002-10-01,3.8440003058919774,Cauca,False,False
2002-11-01,3.896335150673416,Cauca,False,False
2002-12-01,3.5294802678266124,Cauca,False,False
2003-01-01,4.0695045551559,Cauca,False,False
2003-02-01,3.443683476790372,Cauca,False,False
2003-03-01,3.446518782836276,Cauca,False,False
2003-04-01,3.494727179797326,Cauca,False,False
2003-05-01,3.7015033469630265,Cauca,False,False
2003-06-01,3.7559640561973104,Cauca,False,False
2003-07-01,3.731586542295086,Cauca,False,False
2003-08-01,3.516372148326471,Cauca,False,False
2003-09-01,3.168343824920674,Cauca,False,False
2003-10-01,3.484401132382173,Cauca,False,False
2003-11-01,3.875321523773995,Cauca,False,False
2003-12-01,3.7166382090914176,Cauca,False,False
2004-01-01,3.834728611297142,Cauca,False,False
2004-02-01,3.5807160529629174,Cauca,False,False
2004-03-01,3.638952931204056,Cauca,False,False
2004-04-01,3.667816777967974,Cauca,False,False
2004-05-01,3.723809845527093,Cauca,False,False
2004-06-01,3.9252824380710414,Cauca,False,False
2004-07-01,3.674218734983852,Cauca,False,False
2004-08-01,3.5320819351058743,Cauca,False,False
2004-09-01,3.3588548643672063,Cauca,False,False
2004-10-01,3.616954632703896,Cauca,False,False
2004-11-01,3.6246285948450727,Cauca,False,False
2004-12-01,3.2081972321277634,Cauca,False,False
2005-01-01,3.747828997677245,Cauca,False,False
2005-02-01,3.7558034272337526,Cauca,False,False
2005-03-01,3.1262171489024566,Cauca,False,False
2005-04-01,3.6545012256345086,Cauca,False,False
2005-05-01,3.632618042977866,Cauca,False,False
2005-06-01,3.752147811809875,Cauca,False,False
2005-07-01,3.9027049772935607,Cauca,False,False
2005-08-01,3.473711978451825,Cauca,False,False
2005-09-01,3.172621113468593,Cauca,False,False
2005-10-01,3.812119896290111,Cauca,False,False
2005-11-01,3.6277808209106497,Cauca,False,False
2005-12-01,2.984664246481441,Cauca,False,False
2006-01-01,3.3596177006140686,Cauca,False,False
2006-02-01,3.607656248260432,Cauca,False,False
2006-03-01,3.519303607090936,Cauca,False,False
2006-04-01,3.650475742712975,Cauca,False,False
2006-05-01,3.996607162435776,Cauca,False,False
2006-06-01,3.757059074370006,Cauca,False,False
2006-07-01,3.662404119477045,Cauca,False,False
2006-08-01,3.6475178827712207,Cauca,False,False
2006-09-01,3.3616835253012662,Cauca,False,False
2006-10-01,3.5837930765309784,Cauca,False,False
2006-11-01,3.2067963081304844,Cauca,False,False
2006-12-01,3.5442394820357253,Cauca,False,False
2007-01-01,3.682182335186417,Cauca,False,False
2007-02-01,4.025877142709008,Cauca,False,False
2007-03-01,3.421070929957481,Cauca,False,False
2007-04-01,3.608225277896656,Cauca,False,False
2007-05-01,3.603164022429123,Cauca,False,False
2007-06-01,3.614758655071281,Cauca,False,False
2007-07-01,3.8166570126142,Cauca,False,False
