date,et_mm,region
2000-03-01,3.418989262136443,Cauca
2000-04-01,3.5650692039805114,Cauca
2000-05-01,3.5287043415097195,Cauca
2000-06-01,3.627669258666594,Cauca
2000-07-01,3.71040277921328,Cauca
2000-08-01,3.7233940216048893,Cauca
2000-09-01,3.5048233609615274,Cauca
2000-10-01,3.8743031788832116,Cauca
2000-11-01,4.216610783749903,Cauca
2000-12-01,4.012949605881914,Cauca
2001-01-01,3.7463421027752477,Cauca
2001-02-01,4.006144948328578,Cauca
2001-03-01,3.637633833950477,Cauca
2001-04-01,3.934236866284416,Cauca
2001-05-01,3.8027775201391805,Cauca
2001-06-01,3.823481062733597,Cauca
2001-07-01,3.680389545178594,Cauca
2001-08-01,3.704875008048752,Cauca
2001-09-01,3.582080106414047,Cauca
2001-10-01,4.098883074482614,Cauca
2001-11-01,4.107379960238825,Cauca
2001-12-01,3.7636693262123697,Cauca
2002-01-01,3.9861141320671885,Cauca
2002-02-01,3.681361259228857,Cauca
2002-03-01,3.7595628292811987,Cauca
2002-04-01,3.484393859357406,Cauca
2002-05-01,3.957713060664019,Cauca
2002-06-01,3.9352198457012544,Cauca
2002-07-01,3.982063992147399,Cauca
2002-08-01,3.6404315160926934,Cauca
2002-09-01,3.6088964402769865,Cauca
2002-10-01,3.8440003058919783,Cauca
2002-11-01,3.896335150673416,Cauca
2002-12-01,3.5294802678266124,Cauca
2003-01-01,4.0695045551559,Cauca
2003-02-01,3.4436834767903717,Cauca
2003-03-01,3.4465187828362756,Cauca
2003-04-01,3.494727179797326,Cauca
2003-05-01,3.7015033469630265,Cauca
2003-06-01,3.7559640561973104,Cauca
2003-07-01,3.731586542295086,Cauca
2003-08-01,3.516372148326471,Cauca
2003-09-01,3.168343824920674,Cauca
2003-10-01,3.484401132382173,Cauca
2003-11-01,3.875321523773995,Cauca
2003-12-01,3.7166382090914176,Cauca
2004-01-01,3.834728611297142,Cauca
2004-02-01,3.5807160529629174,Cauca
2004-03-01,3.6389529312040563,Cauca
2004-04-01,3.667816777967974,Cauca
2004-05-01,3.7238098455270934,Cauca
2004-06-01,3.9252824380710414,Cauca
2004-07-01,3.674218734983852,Cauca
2004-08-01,3.5320819351058743,Cauca
2004-09-01,3.3588548643672063,Cauca
2004-10-01,3.6169546327038957,Cauca
