mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.366760492324829,0.8332214266873479,0.008239412307739257,0.004513210732602089,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6553741837517568,0.5629913193609337,0.6736552047811379,0.409969750588027,0.4606448679822085,0.5525270652928128,0.10404228248445684,47
3.9963657379150392,2.854568660201825,0.02313704490661621,0.00990395199444872,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.6560640836050293,0.5662558201881269,0.6743706623888981,0.4155119132007846,0.470846592290329,0.5566098143346336,0.10110960626893144,45
10.778904342651368,6.406185895700053,0.0544074535369873,0.008588436364481691,,1,400,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6551931424554058,0.5700854226726765,0.6766706168685159,0.4121098606824848,0.47361294555153866,0.5575343976461243,0.10205812409632077,42
2.2289844036102293,1.2264365673591637,0.013430356979370117,0.001470552143201771,,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",0.6618555709358731,0.566692131276394,0.6819207368176139,0.42738477055954305,0.48865430167878876,0.5653015022536426,0.09779620251891429,27
5.051749420166016,2.9372148117983263,0.02585573196411133,0.004654634728291485,,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 200}",0.657845659128534,0.5680022677476853,0.6812671163153959,0.43171401222601036,0.4870914580627912,0.5651841026960833,0.09589796488100771,29
10.256407928466796,5.239455579003966,0.043905019760131836,0.0029936333297034233,,2,400,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6585185447389874,0.5692782030329424,0.679966697159247,0.42618859434896006,0.4890631551297976,0.5646030388819869,0.09696967107710303,30
2.1024892807006834,1.1335173767519777,0.015491342544555664,0.002951777422515671,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",0.6695749247217351,0.5680088460021998,0.6816993733601163,0.4582642391716607,0.5440422927060138,0.5843179351923451,0.08310180119782237,7
3.9325119972229006,1.9911313287075287,0.021047258377075197,0.00150808912383438,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",0.6686668716715627,0.5691010536466526,0.6799888808130192,0.45906188445623397,0.5352540785221237,0.5824145538219183,0.08315942806352332,17
7.094178295135498,3.6414281101735275,0.04395170211791992,0.008138739734582377,,5,400,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6701008625544931,0.5676249039103406,0.681883147599579,0.45706223034135585,0.5435907443546435,0.5840523777520824,0.083676405849143,10
1.4466513633728026,0.7900881513151592,0.010808849334716797,0.0008717119885918714,,10,100,"{'max_depth': None, 'min_samples_leaf': 10, 'n_estimators': 100}",0.6618272535616916,0.5557812251355702,0.6799244601325884,0.4754757438086148,0.5472049386257392,0.5840427242528408,0.07640191659919782,12
